DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, flagcol, notes
CAT, 2020-10-19 12:18:00 EST, 2020-10-19 15:00:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning DO calibration and surface reading broken
CAT, 2020-10-19 15:00:00 EST, 2020-10-20 11:22:00 EST, wtr_surface, 5, 1, 43, surface temp sensor broke and is reading NA
CAT, 2020-10-20 11:23:00 EST, 2020-10-20 13:50:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up troubleshooting
CAT, 2020-10-20 13:38:00 EST, 2020-10-22 09:26:00 EST, wtr_2, 7, 1, 45, the 2m sensor was moved to the surface spot and moved back when fixed with BVR sensor
CAT, 2020-10-26 09:05:00 EST, 2020-10-26 09:15:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-10-30 13:00:00 EST, 2021-02-08 14:30:00 EST, wtr_1, 6, 8, 44, thermistor broken and values adjusted
CAT, 2020-10-31 05:00:00 EST, 2021-02-08 14:30:00 EST, wtr_4, 9, 8, 47, thermistor broken and values adjusted
CAT, 2020-11-02 11:21:00 EST, 2020-11-02 11:30:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-11-09 10:25:00 EST, 2020-11-09 10:50:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-11-09 11:30:00 EST, 2020-11-09 11:50:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for maintenance
CAT, 2020-11-24 11:30:00 EST, 2020-11-24 11:55:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-12-02 12:25:00 EST, 2020-12-02 12:57:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2020-12-02 15:00:00 EST, 2020-12-02 18:00:00 EST, do_9, c(18:19), 2, c(56:57), removing questionable DO values
CAT, 2020-12-02 12:50:00 EST, 2020-12-27 12:40:00 EST, EXO_*, c(21:40), 1, c(59:76), EXO sent for cleaning and calibration
CAT, 2021-01-07 09:40:00 EST, 2021-01-07 09:55:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-01-07 10:00:00 EST, 2021-01-07 11:40:00 EST, All_Cat, c(1:42), 1, c(43:78), troubleshooting broken thermistors
CAT, 2021-02-08 14:25:00 EST, 2021-02-08 14:45:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-02-08 17:40:00 EST, 2021-02-08 18:10:00 EST, do_9, c(18:19), 2, c(56:57), removing questionable DO values
CAT, 2021-02-08 14:30:00 EST, 2021-02-26 12:00:00 EST, wtr_1, 6, 1, 44, thermistor broken removed and replaced
CAT, 2021-02-08 14:30:00 EST, 2021-02-26 12:00:00 EST, wtr_4, 9, 1, 47, thermistor broken removed and replaced
CAT, 2021-02-26 10:40:00 EST, 2021-02-26 14:00:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and testing Sunappee Temp String
CAT, 2021-03-22 10:50:00 EST, 2021-03-22 11:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and calibrate DO and depth
CAT, 2021-04-16 11:50:00 EST, 2021-04-16 12:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and calibration
CAT, 2021-04-16 11:50:00 EST, 2021-04-26 13:10:00 EST, fdom, c(33:34), 1, c(69:70), bad fdom calibration
CAT, 2021-04-26 10:55:00 EST, 2021-04-26 11:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-05-06 12:20:00 EST, 2021-05-06 13:50:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-05-14 13:45:00 EST, 2021-05-14 14:00:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-05-24 10:15:00 EST, 2021-05-24 10:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-05-31 10:55:00 EST, 2021-05-31 11:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-06-07 10:25:00 EST, 2021-06-07 14:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-06-07 12:40:00 EST, 2021-06-08 12:00:00 EST, do_9, c(18:19), 2, c(56:57), removing questionable DO values
CAT, 2021-06-11 09:41:00 EST, 2021-09-14 13:30:00 EST, do_5, c(15:16), 2, c(53:54), removing questionable DO values
CAT, 2021-06-11 09:41:00 EST, 2021-09-14 13:30:00 EST, do_9, c(18:19), 2, c(56:57), removing questionable DO values
CAT, 2021-06-15 09:00:00 EST, 2021-06-15 13:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-06-16 08:10:00 EST, 2021-06-16 08:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-06-18 10:00:00 EST, 2021-06-21 10:00:00 EST, wtr*, c(1:14), 1, c(43:52), sensor string up for cleaning and then it was tangled so not measuring the correct depth
CAT, 2021-06-18 10:00:00 EST, 2021-06-21 10:00:00 EST, do*, c(15:20), 1, c(53:58), sensor string up for cleaning and then it was tangled so not measuring the correct depth
CAT, 2021-06-18 10:00:00 EST, 2021-06-21 10:00:00 EST, Lvl*, c(41:42), 1, c(76:78), sensor string up for cleaning and then it was tangled so not measuring the correct depth
CAT, 2021-06-18 10:00:00 EST, 2021-06-18 10:40:00 EST, EXO*, c(21:40), 1, c(59:75), sensor string up for cleaning and then it was tangled but EXO was fine
CAT, 2021-06-21 09:40:00 EST, 2021-06-21 10:00:00 EST, EXO*, c(21:40), 1, c(59:75), sensor string up for cleaning
CAT, 2021-06-28 14:10:00 EST, 2021-06-28 14:30:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and SSS not working
CAT, 2021-07-12 16:00:00 EST, 2021-07-12 16:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and SSS off
CAT, 2021-07-21 13:20:00 EST, 2021-07-26 12:00:00 EST, wtr*, c(1:14), 1, c(43:52), sensor string up for cleaning and then it was tangled so not measuring the correct depth
CAT, 2021-07-21 13:20:00 EST, 2021-07-26 12:00:00 EST, do*, c(15:20), 1, c(53:58), sensor string up for cleaning and then it was tangled so not measuring the correct depth
CAT, 2021-07-21 13:20:00 EST, 2021-07-26 12:00:00 EST, Lvl*, c(41:42), 1, c(76:78), sensor string up for cleaning and then it was tangled so not measuring the correct depth
CAT, 2021-07-21 13:20:00 EST, 2021-07-21 13:40:00 EST, EXO*, c(21:40), 1, c(59:76), sensor string up for cleaning and then it was tangled but EXO was fine
CAT, 2021-07-26 11:50:00 EST, 2021-07-26 12:00:00 EST, EXO*, c(21:40), 1, c(59:76), sensor string up for cleaning and turned on SSS with Alicat from CCR
CAT, 2021-08-02 10:30:00 EST, 2021-08-02 10:50:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning no sure O2 is being added to the system
CAT, 2021-08-09 13:30:00 EST, 2021-08-09 14:30:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and played with SSS pump rate
CAT, 2021-08-16 10:30:00 EST, 2021-08-16 11:50:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and calibrated EXO DO
CAT, 2021-08-17 06:10:00 EST, 2021-08-17 10:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and calibrated the RDO at 9m and check the 5m one
CAT, 2021-08-20 14:30:00 EST, 2021-08-20 15:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-08-23 12:50:00 EST, 2021-08-23 13:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-08-24 10:20:00 EST, 2021-08-24 10:50:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and anti-fouling cap was removed because it was casuing fouling
CAT, 2021-08-31 11:20:00 EST, 2021-08-31 12:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and installed new DO cap at 5m
CAT, 2021-09-06 13:00:00 EST, 2021-09-06 13:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-09-14 13:10:00 EST, 2021-09-14 13:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and put in fixed Alicat in the SSS system and O2 should be good
CAT, 2021-09-21 14:00:00 EST, 2021-09-21 14:30:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-09-27 12:40:00 EST, 2021-09-27 13:20:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-10-04 13:40:00 EST, 2021-10-04 14:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-10-11 12:41:00 EST, 2021-10-11 13:15:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-10-18 11:20:00 EST, 2021-10-18 11:55:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-10-25 12:15:00 EST, 2021-10-25 13:05:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-11-08 12:05:00 EST, 2021-11-08 12:15:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-12-06 15:35:00 EST, 2021-12-06 15:45:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-12-13 10:05:00 EST, 2021-12-13 10:15:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2021-12-13 10:25:00 EST, 2021-12-14 12:25:00 EST, EXO*, c(21:40), 1, c(59:76), sensor string up for cleaning and cleaning in the lab
CAT, 2022-03-17 11:40:00 EST, 2022-03-17 14:10:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning and RDO calibrated and EXO DO calibrated
CAT, 2022-03-29 11:40:00 EST, 2022-03-29 12:00:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2022-04-12 11:40:00 EST, 2022-04-12 12:00:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
CAT, 2022-04-19 10:20:00 EST, 2022-04-19 10:40:00 EST, All_Cat, c(1:42), 1, c(43:78), sensor string up for cleaning
